Tenant ID,# months,# txns per month,frequency,# samples,horizon,Dataset ID
io-cost-analysis,6,30,W,24,3,6m-30txns-Wf-3h
io-cost-analysis,6,30,W,24,6,6m-30txns-Wf-6h
io-cost-analysis,6,30,W,24,9,6m-30txns-Wf-9h
io-cost-analysis,6,30,M,6,3,6m-30txns-Mf-3h
io-cost-analysis,6,30,M,6,6,6m-30txns-Mf-6h
io-cost-analysis,6,30,M,6,9,6m-30txns-Mf-9h
io-cost-analysis,6,20,W,24,3,6m-20txns-Wf-3h
io-cost-analysis,6,20,W,24,6,6m-20txns-Wf-6h
io-cost-analysis,6,20,W,24,9,6m-20txns-Wf-9h
io-cost-analysis,6,20,M,6,3,6m-20txns-Mf-3h
io-cost-analysis,6,20,M,6,6,6m-20txns-Mf-6h
io-cost-analysis,6,20,M,6,9,6m-20txns-Mf-9h
io-cost-analysis,6,10,W,24,3,6m-10txns-Wf-3h
io-cost-analysis,6,10,W,24,6,6m-10txns-Wf-6h
io-cost-analysis,6,10,W,24,9,6m-10txns-Wf-9h
io-cost-analysis,6,10,M,6,3,6m-10txns-Mf-3h
io-cost-analysis,6,10,M,6,6,6m-10txns-Mf-6h
io-cost-analysis,6,10,M,6,9,6m-10txns-Mf-9h
io-cost-analysis,12,30,W,48,3,12m-30txns-Wf-3h
io-cost-analysis,12,30,W,48,6,12m-30txns-Wf-6h
io-cost-analysis,12,30,W,48,9,12m-30txns-Wf-9h
io-cost-analysis,12,30,M,12,3,12m-30txns-Mf-3h
io-cost-analysis,12,30,M,12,6,12m-30txns-Mf-6h
io-cost-analysis,12,30,M,12,9,12m-30txns-Mf-9h
io-cost-analysis,12,20,W,48,3,12m-20txns-Wf-3h
io-cost-analysis,12,20,W,48,6,12m-20txns-Wf-6h
io-cost-analysis,12,20,W,48,9,12m-20txns-Wf-9h
io-cost-analysis,12,20,M,12,3,12m-20txns-Mf-3h
io-cost-analysis,12,20,M,12,6,12m-20txns-Mf-6h
io-cost-analysis,12,20,M,12,9,12m-20txns-Mf-9h
io-cost-analysis,12,10,W,48,3,12m-10txns-Wf-3h
io-cost-analysis,12,10,W,48,6,12m-10txns-Wf-6h
io-cost-analysis,12,10,W,48,9,12m-10txns-Wf-9h
io-cost-analysis,12,10,M,12,3,12m-10txns-Mf-3h
io-cost-analysis,12,10,M,12,6,12m-10txns-Mf-6h
io-cost-analysis,12,10,M,12,9,12m-10txns-Mf-9h
io-cost-analysis,36,30,W,144,3,36m-30txns-Wf-3h
io-cost-analysis,36,30,W,144,6,36m-30txns-Wf-6h
io-cost-analysis,36,30,W,144,9,36m-30txns-Wf-9h
io-cost-analysis,36,30,M,36,3,36m-30txns-Mf-3h
io-cost-analysis,36,30,M,36,6,36m-30txns-Mf-6h
io-cost-analysis,36,30,M,36,9,36m-30txns-Mf-9h
io-cost-analysis,36,20,W,144,3,36m-20txns-Wf-3h
io-cost-analysis,36,20,W,144,6,36m-20txns-Wf-6h
io-cost-analysis,36,20,W,144,9,36m-20txns-Wf-9h
io-cost-analysis,36,20,M,36,3,36m-20txns-Mf-3h
io-cost-analysis,36,20,M,36,6,36m-20txns-Mf-6h
io-cost-analysis,36,20,M,36,9,36m-20txns-Mf-9h
io-cost-analysis,36,10,W,144,3,36m-10txns-Wf-3h
io-cost-analysis,36,10,W,144,6,36m-10txns-Wf-6h
io-cost-analysis,36,10,W,144,9,36m-10txns-Wf-9h
io-cost-analysis,36,10,M,36,3,36m-10txns-Mf-3h
io-cost-analysis,36,10,M,36,6,36m-10txns-Mf-6h
io-cost-analysis,36,10,M,36,9,36m-10txns-Mf-9h
io-cost-analysis,60,30,W,240,3,60m-30txns-Wf-3h
io-cost-analysis,60,30,W,240,6,60m-30txns-Wf-6h
io-cost-analysis,60,30,W,240,9,60m-30txns-Wf-9h
io-cost-analysis,60,30,M,60,3,60m-30txns-Mf-3h
io-cost-analysis,60,30,M,60,6,60m-30txns-Mf-6h
io-cost-analysis,60,30,M,60,9,60m-30txns-Mf-9h
io-cost-analysis,60,20,W,240,3,60m-20txns-Wf-3h
io-cost-analysis,60,20,W,240,6,60m-20txns-Wf-6h
io-cost-analysis,60,20,W,240,9,60m-20txns-Wf-9h
io-cost-analysis,60,20,M,60,3,60m-20txns-Mf-3h
io-cost-analysis,60,20,M,60,6,60m-20txns-Mf-6h
io-cost-analysis,60,20,M,60,9,60m-20txns-Mf-9h
io-cost-analysis,60,10,W,240,3,60m-10txns-Wf-3h
io-cost-analysis,60,10,W,240,6,60m-10txns-Wf-6h
io-cost-analysis,60,10,W,240,9,60m-10txns-Wf-9h
io-cost-analysis,60,10,M,60,3,60m-10txns-Mf-3h
io-cost-analysis,60,10,M,60,6,60m-10txns-Mf-6h
io-cost-analysis,60,10,M,60,9,60m-10txns-Mf-9h